Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,sma,std,upper_band,lower_band,Call
2018-04-20,HEROMOTOCO,EQ,3723.6,3725.0,3750.3,3690.0,3737.2,3742.7,3726.94,399283,1488101844.25,26626,293271,73.45,3669.144999999999,126.91153767383403,3922.9680753476673,3415.321924652331,1
2018-04-23,HEROMOTOCO,EQ,3742.7,3736.4,3736.4,3691.35,3714.0,3718.2,3710.61,236404,877202124.15,15003,130122,55.04,3682.4399999999987,116.50022091689114,3915.440441833781,3449.4395581662166,1
2018-04-24,HEROMOTOCO,EQ,3718.2,3740.0,3744.0,3706.3,3718.0,3716.9,3719.26,333702,1241125343.55,21306,243728,73.04,3697.5974999999985,97.9451799880681,3893.4878599761346,3501.7071400238624,2
2018-04-25,HEROMOTOCO,EQ,3716.9,3736.0,3753.0,3700.9,3709.55,3717.2,3728.1,219848,819615194.85,18140,105796,48.12,3709.3724999999986,83.75133066500072,3876.87516133,3541.869838669997,2
2018-04-26,HEROMOTOCO,EQ,3717.2,3707.0,3774.55,3659.05,3770.0,3761.85,3717.88,341735,1270529986.1,27561,227781,66.65,3724.2299999999987,61.44992484257703,3847.1298496851527,3601.3301503148446,2
2018-04-27,HEROMOTOCO,EQ,3761.85,3768.1,3776.95,3704.5,3710.1,3713.5,3747.05,571451,2141255969.2,36228,411486,72.01,3732.7649999999985,44.41854490614774,3821.602089812294,3643.927910187703,2
2018-04-30,HEROMOTOCO,EQ,3713.5,3731.0,3750.0,3717.05,3732.0,3732.25,3732.78,216291,807366547.5,13742,168097,77.72,3737.0774999999985,39.461695201276335,3816.0008904025512,3658.1541095974458,2
2018-05-02,HEROMOTOCO,EQ,3732.25,3751.0,3774.0,3640.0,3648.0,3664.1,3715.76,715845,2659904807.3,63938,280413,39.17,3738.034999999999,37.28071711249124,3812.5964342249813,3663.4735657750166,2
2018-05-03,HEROMOTOCO,EQ,3664.1,3665.0,3682.95,3637.4,3649.0,3655.6,3663.78,393371,1441226119.3,45121,239420,60.86,3737.4574999999995,38.50588565743814,3814.4692713148756,3660.4457286851234,2
2018-05-04,HEROMOTOCO,EQ,3655.6,3655.0,3669.85,3643.4,3655.65,3659.75,3658.55,279580,1022857121.7,37007,212964,76.17,3731.3375,40.69353328621506,3812.7245665724304,3649.95043342757,2
2018-05-07,HEROMOTOCO,EQ,3659.75,3662.95,3679.0,3622.75,3645.0,3648.05,3657.42,198507,726023700.65,13411,127835,64.4,3724.7675000000004,43.055659433005914,3810.8788188660124,3638.6561811339884,2
2018-05-08,HEROMOTOCO,EQ,3648.05,3659.9,3674.0,3640.15,3660.65,3657.3,3657.58,360338,1317966748.8,23149,309305,85.84,3717.6975000000007,41.86957026856273,3801.436640537126,3633.9583594628753,2
2018-05-09,HEROMOTOCO,EQ,3657.3,3660.0,3685.0,3635.0,3658.0,3654.4,3659.37,259686,950287383.9,25122,169725,65.36,3714.5025,44.19466946602192,3802.891838932044,3626.1131610679563,2
2018-05-10,HEROMOTOCO,EQ,3654.4,3663.0,3665.35,3625.05,3650.0,3646.0,3646.03,352223,1284213945.3,72589,276639,78.54,3709.835,46.31112774087837,3802.457255481757,3617.212744518243,2
2018-05-11,HEROMOTOCO,EQ,3646.0,3655.0,3655.0,3591.0,3616.0,3618.3,3610.98,246696,890814378.45,15364,160376,65.01,3703.2775,49.57661926384163,3802.4307385276834,3604.124261472317,2
2018-05-14,HEROMOTOCO,EQ,3618.3,3625.0,3655.05,3624.2,3654.0,3648.3,3645.03,223997,816475195.25,11632,148515,66.3,3699.3975000000005,50.735974144276874,3800.8694482885544,3597.9255517114466,2
2018-05-15,HEROMOTOCO,EQ,3648.3,3650.0,3659.35,3631.05,3650.0,3649.6,3650.43,341729,1247457960.85,18151,263250,77.03,3691.720000000001,45.56370439170856,3782.8474087834184,3600.592591216584,2
